1 4,3,2,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1 1,2,3,4,5,6,7,8,12,11,10,9,13,14,15,16,17,18,19,20
1 4,3,2,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1 1,2,3,4,5,9,8,7,6,10,11,12,13,14,15,16,17,18,19,20
1 20,19,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,1
1 18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,20,19
1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,19,18,17
1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,18,17,16,20
1 1,2,3,4,5,6,10,9,8,7,11,12,13,14,15,16,17,18,19,20
1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,18,17,16,15,19,20
2 1,2,3,4,5,6,7,11,10,9,8,15,14,13,12,16,17,18,19,20
2 4,3,2,1,5,6,7,8,12,11,10,9,13,14,15,16,17,18,19,20
2 2,1,20,4,5,6,7,8,9,10,11,12,13,14,18,17,16,15,19,3
2 1,2,7,8,4,3,6,5,9,10,11,12,13,14,15,16,17,18,19,20
2 1,2,3,7,6,5,10,9,8,4,11,12,13,14,15,16,17,18,19,20
2 1,2,3,4,5,9,8,11,10,6,7,12,13,14,15,16,17,18,19,20
2 2,1,20,7,6,5,4,8,9,10,11,12,13,14,15,16,17,18,19,3
2 1,6,7,3,2,5,4,8,9,10,11,12,13,14,15,16,17,18,19,20
2 18,2,3,4,5,6,10,9,8,7,11,12,13,14,15,16,17,1,20,19
2 20,19,3,4,5,6,7,8,9,13,12,11,10,14,15,16,17,18,2,1
3 18,2,3,4,5,6,7,8,12,11,10,9,13,14,1,17,16,15,20,19
3 1,2,6,5,4,3,7,12,13,9,8,11,10,14,15,16,17,18,19,20
3 1,2,3,4,5,6,7,11,10,9,8,12,13,14,15,16,17,18,19,20
3 1,4,5,9,2,3,8,7,6,10,11,12,13,14,15,16,17,18,19,20
3 1,2,3,4,5,6,10,9,8,13,12,11,7,14,15,19,18,17,16,20
3 1,2,9,4,5,6,8,7,3,10,11,12,13,14,15,16,17,18,19,20
3 4,20,1,2,5,6,7,11,10,9,8,12,13,14,15,16,17,18,19,3
3 1,2,9,5,4,3,10,6,7,8,11,12,13,14,15,16,17,18,19,20
3 1,2,3,4,5,6,9,10,11,7,8,15,14,13,12,16,17,18,19,20
3 1,5,4,3,2,6,7,8,13,14,10,9,12,11,15,16,17,18,19,20
4 1,2,5,6,7,3,4,8,12,11,10,9,13,14,15,16,20,19,18,17
4 2,1,20,4,5,6,7,8,9,10,15,16,12,11,14,19,18,17,13,3
4 1,2,3,4,5,9,8,7,6,13,12,11,10,14,19,20,16,15,18,17
4 2,1,20,4,5,6,7,12,13,9,8,11,10,17,16,15,14,18,19,3
4 1,2,3,5,4,8,7,6,12,11,10,9,13,14,15,16,17,18,19,20
4 20,19,3,4,5,6,10,9,8,7,11,12,13,14,15,18,2,1,16,17
4 3,2,1,4,5,6,7,8,9,10,11,15,14,13,12,16,17,18,20,19
