1 1,5,3,4,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1 1,2,3,4,5,6,7,8,9,10,11,12,16,14,15,13,17,18,19,20
1 4,2,3,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1 1,5,3,4,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,18,19,17
1 1,19,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,20
1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,18,19,17
1 1,2,3,4,5,6,7,8,9,10,11,15,13,14,12,16,17,18,19,20
1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,18,19,17
1 1,2,3,4,5,6,7,8,12,10,11,9,13,14,15,16,17,18,19,20
2 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2 1,2,3,4,5,6,7,8,9,13,11,15,10,14,12,16,17,18,19,20
2 1,19,3,4,5,6,7,8,9,13,11,12,10,14,15,16,17,18,2,20
2 1,2,3,7,8,6,4,5,9,10,11,12,13,14,15,16,17,18,19,20
2 1,2,3,4,5,6,7,8,9,10,14,12,16,11,15,13,17,18,19,20
2 1,2,20,4,5,6,7,8,9,10,11,12,16,14,15,13,17,18,19,3
2 1,5,3,4,2,9,7,8,6,10,11,12,13,14,15,16,17,18,19,20
2 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2 4,2,3,1,5,6,7,8,9,10,11,12,13,14,18,16,17,15,19,20
2 1,2,20,4,5,3,7,8,9,10,11,12,13,14,15,16,17,18,19,6
3 1,19,20,4,8,6,7,5,9,10,11,12,13,14,15,16,17,18,2,3
3 1,16,3,7,5,6,4,8,9,10,11,12,13,14,15,19,17,18,2,20
3 1,5,3,4,2,6,7,8,12,10,11,9,13,14,15,16,20,18,19,17
3 1,2,3,4,5,6,7,11,9,10,8,12,13,14,18,19,17,15,16,20
3 1,2,3,4,5,6,7,8,9,10,14,12,16,17,15,13,11,18,19,20
3 1,2,3,4,5,6,7,8,9,13,14,12,16,11,15,10,17,18,19,20
3 18,2,3,4,5,6,7,8,9,10,11,15,13,14,12,16,20,1,19,17
3 1,2,3,4,5,6,7,8,9,10,11,12,13,14,18,16,17,15,19,20
3 1,19,3,4,5,6,7,8,9,13,11,12,10,14,15,16,20,18,2,17
3 4,2,3,1,8,6,7,5,9,10,11,12,13,14,18,16,17,15,19,20
4 1,2,3,4,5,6,7,8,9,10,11,12,16,14,15,13,20,18,19,17
4 1,2,3,7,5,6,13,8,12,4,11,9,10,14,15,16,17,18,19,20
4 1,2,6,4,5,3,7,8,12,10,11,9,13,14,15,16,17,18,19,20
4 1,2,3,7,5,9,4,8,12,10,11,15,13,14,6,16,17,18,19,20
4 7,2,3,1,5,6,4,8,12,10,11,9,13,17,15,16,14,18,19,20
4 1,2,17,4,5,6,7,8,12,10,11,9,13,14,18,16,20,15,19,3
4 1,2,3,4,8,6,7,5,9,10,11,12,13,14,15,19,17,18,16,20
4 1,2,3,7,5,6,4,8,9,10,11,15,13,14,12,19,20,18,16,17
4 1,2,6,4,5,3,7,11,9,10,8,12,13,14,15,16,17,18,19,20
4 1,2,20,4,5,6,13,8,9,7,11,12,10,17,15,16,14,18,19,3
5 18,2,3,4,5,6,7,8,12,10,11,9,19,14,15,16,17,1,13,20
5 1,2,6,4,5,3,7,11,12,10,8,9,13,17,18,16,14,15,19,20
5 1,19,3,4,5,6,7,8,9,10,11,15,13,14,12,16,20,18,2,17
5 18,2,3,4,8,6,7,5,12,10,11,9,13,17,15,16,20,1,19,14
5 1,2,20,4,5,9,7,8,6,10,11,12,16,14,18,13,3,15,19,17
5 18,19,3,4,5,6,7,8,9,10,14,12,13,11,15,16,17,1,2,20
5 15,2,3,1,5,6,10,8,9,7,11,12,16,14,18,13,17,4,19,20
5 1,19,3,7,2,6,4,8,12,13,11,9,10,14,15,16,17,18,5,20
5 4,2,3,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5 1,2,6,4,5,20,7,8,12,10,14,9,16,11,15,13,17,18,19,3
6 4,5,6,18,2,3,7,8,12,10,11,9,16,14,15,13,17,1,19,20
6 1,19,20,4,2,6,7,8,9,10,14,12,13,11,15,16,17,18,5,3
6 1,2,3,4,5,9,7,8,6,10,11,12,13,14,18,16,17,15,19,20
6 18,2,6,1,5,3,7,8,9,10,11,15,13,14,12,16,17,4,19,20
6 1,2,3,4,5,6,7,8,12,13,11,15,10,17,9,19,20,18,16,14
6 1,2,3,4,5,6,7,8,9,10,11,12,13,17,15,19,14,18,16,20
6 1,2,6,4,8,9,7,5,3,13,14,12,10,11,15,19,17,18,16,20
6 1,19,3,4,8,6,7,5,12,10,11,9,13,17,15,16,14,18,2,20
6 7,2,3,1,5,6,4,11,12,10,8,9,19,14,15,13,17,18,16,20
6 1,5,20,4,2,9,7,8,6,10,11,12,13,14,15,19,17,18,16,3
7 15,2,20,4,5,6,7,8,9,10,14,12,13,3,18,19,11,1,16,17
7 1,5,3,4,16,6,7,11,15,10,8,9,13,14,18,19,17,12,2,20
7 4,19,3,10,5,6,1,8,9,13,11,12,7,14,15,16,17,18,2,20
